time,robot_continuous_position,robot_continuous_orientation,robot_linear_velocity,robot_angular_velocity,robot_discrete_state,discrete_location,discrete_orientation,robot_state_mode,sip_puff_frame_id,sip_puff_axes,sip_puff_buttons,mode,trial_marker,sip_puff_before_frame_id,user_vel
1582328712306776629,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712312743468,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712313272719,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712322700915,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712323371201,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712332686402,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712333449546,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712342597116,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712343562934,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712352653517,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712353716794,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712362500542,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712363830570,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712372740001,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712373966287,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712382619430,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712384087712,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712392598448,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712394164625,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712402431484,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712404341511,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712414713808,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712415569402,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712424877906,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712435050401,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712435170754,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712445205871,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712451174938,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712455352793,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712465643748,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712468179220,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712475668747,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712482254775,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712485690938,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712491872622,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712495869706,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712499879522,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712506390919,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712509325938,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712516124784,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712516264108,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712526213203,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712526307323,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712536676580,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712541211275,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712546682091,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712553481642,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712556781848,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712563224761,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712566841163,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712569993091,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712576975640,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712577602179,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712586846705,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712587043034,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712596863817,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712597162817,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712607702237,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712611110467,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712617647539,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712622786331,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712627668221,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712632256738,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712637783951,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712639732092,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712646648162,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712647939174,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712658422013,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712661063203,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712668310564,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712673153317,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712678346080,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712682520144,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712688538028,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712689974579,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712697564806,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
