time,robot_continuous_position,robot_continuous_orientation,robot_linear_velocity,robot_angular_velocity,robot_discrete_state,discrete_location,discrete_orientation,robot_state_mode,sip_puff_frame_id,sip_puff_axes,sip_puff_buttons,mode,optimal_a,u_intended,normalized_h,u_corrected,is_corrected_or_filtered,is_u_intended_equals_um,trial_marker,sip_puff_before_frame_id,user_vel
1582330051615397744,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051620049075,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051622468234,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051628828022,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051630221243,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051635803338,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051640286411,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051645944463,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051650383306,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051660234569,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051660733859,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051670856458,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051673353710,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051681021352,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051681599649,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051688925678,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051691078982,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051696080313,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051701145701,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
