time,robot_continuous_position,robot_continuous_orientation,robot_linear_velocity,robot_angular_velocity,robot_discrete_state,discrete_location,discrete_orientation,robot_state_mode,sip_puff_frame_id,sip_puff_axes,sip_puff_buttons,mode_frame_id,mode,trial_marker,sip_puff_before_frame_id,user_vel
1582328831388628361,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831397062707,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831399379055,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831407153322,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831408579730,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831417553102,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831419675145,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831427647545,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831429129788,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831437783985,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831438855770,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831447889228,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831449275403,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831458220579,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831459525990,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831468168365,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831469267783,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831478286498,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831479488482,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831488553723,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831488993638,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831498674127,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831499362415,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831508671383,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831508769070,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831518869459,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831519381323,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831529015356,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831529059434,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831538616126,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831539156826,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831548612891,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831549303496,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831558480579,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831559372556,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831568580558,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831569500912,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831578559317,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
